tweet,spacy_cleaned_tweet,sentiment,target
Donald Trump and Scott Walker would Negros back to Africa; they would try to change the 14th Amendment to the Constitution.,donald trump scott walker would negros back africa would try change 14th amendment constitution,negative,0
@YidVids2 probably not cause he played with the equivalent of Real Madrid. 1st team got a lot of shit for tading him to hated rivals though,probably play equivalent real madrid 1st team get lot shit tad rival though,negative,0
"Woaw just because briana is ""having"" louis' baby she has the sun shining out of her ass. https://t.co/MrOgIi8Eco",woaw briana louis baby sun shin ass,negative,0
I wrote this about the 'SAS response' after the Charlie Hebdo murders in January.  I suspect it's still true: https://t.co/lEFpF7pYDG,write sas response charlie hebdo murder january suspect still true,negative,0
@MasterDebator_ @NFLosophy 2nd best in luck draft? Rg3 if u are talking as prospects and Russell Wilson if u talking about pro careers. Lame,2nd best luck draft rg3 talk prospect russell wilson talk pro career lame,negative,0
"Boehner tells Obama that sorry, the House is all booked up for Sept 7, maybe you can come another day... http://j.mp/qaXCPV",boehner tell obama sorry house book sept 7 maybe another day ...,negative,0
"I think Google may be worried that if they allow people just to add sites on Google Now, then people will use it like Google Reader.",think google may worried allow people add site google people use like google reader,negative,0
This goes right up there with Rolling Stone putting a terrorist on the cover. Pathetic.  https://t.co/g9YAf940EI,go right roll stone put terrorist cover pathetic,negative,0
"If Carly Fiorina ran the US the way she ran HP, we'd be doomed - http://t.co/Tg6ebt46YA",carly fiorina run way run hp would doom,negative,0
"@HartsPub ru showing the All Blacks v Tonga game Friday nite? With the sound up? Definitely not showing the league, right? #RWC2011",ru show black tonga game friday nite sound definitely show league right rwc2011,negative,0
"France's security has got to be posed some serious questions right now. First Charlie Hebdo, now Friday the 13th. #ParisAttacks",france 's security get pose serious question right first charlie hebdo friday 13th parisattack,negative,0
"Author: IF I've EVER reviewed your book, grab a screen cap NOW! Amazon may pull it down. http://t.co/jA1RTUZlBp http://t.co/hs0Lox27ez",author ever review book grab screen cap amazon may pull,negative,0
"I think aftr seeing all this #YakubToHang drama, the security guy at d jail would like to shoot Yakub dead rather than hanging him tomorrow",think aftr see yakubtohang drama security guy jail would like shoot yakub dead rather hang tomorrow,negative,0
Body pls get your shit together and get rid of this flu tomorrow is Star Wars day ffs,body pls get shit together get rid flu tomorrow star day ff,negative,0
"RT @gatorgirl277: @DrDrewHLN  Conrad Murray claims MJ was unable to ""sleep"" the entire morning yet Murray was on his phone all AM--does  ...",rt conrad murray claim mj unable sleep entire morning yet murray phone -- ...,negative,0
It may be gloomy today but that doesn't stop National Hot Dog Day to be placed on hold! Stop by the Leasing Office to enjoy some franks!,may gloomy today stop national hot day place hold stop leasing office enjoy frank,negative,0
Two of my Oscars died today. Don't know why. I guess they couldn't stand it out till November 6th.,two oscar today know guess could stand november 6th,negative,0
@PaulMerse Are you on drugs? You're deluded if you think Arsenal will finish 3rd. I expected your Spurs prediction. #Speaktofrank #Deluded,drug deluded think arsenal finish 3rd expect spur prediction speaktofrank deluded,negative,0
"LPG price hike put on hold: Facing stiff opposition, the Centre on Thursday night put on hold the Rs. 26.50 incr... http://t.co/9ouJesPv",lpg price hike put hold stiff opposition centre thursday night put hold rs 26.50 incr ...,negative,0
"Tsipras: (on referendum) I Thought No was going to win, on Thursday. On Friday I was certain of it",tsipra referendum think go win thursday friday certain,negative,0
I wish I was in Bolton tonight :(,wish bolton tonight :(,negative,0
kinda sad you're not doing a liveshow this tuesday to talk about why kanye west is the kanye best :( @danisnotonfire,kinda sad liveshow tuesday talk kanye west kanye best :(,negative,0
The MP leaders should be arrange a march to congress office if they didn't take any action against Rahul Gandhi about his dual citizenship,mp leader arrange march congress office take action rahul gandhi dual citizenship,negative,0
"Line of the day: ""Rick Perry has the mental aptitude of two dogs in an overcoat"" http://t.co/5r5sDTNzyo",line day rick perry mental aptitude two overcoat,negative,0
I don't want to go to school on Monday . My excuse will be that HISD doesn't have school lol ~,go school monday excuse hisd school lol,negative,0
Dongwoo gets so scared the whole time. This is like the 5th time he got scared because of the staff that's filming them lol ...,dongwoo get scared whole time like 5th time get scared staff film lol ...,negative,0
"The fire may keep the clinic closed a month or more, Planned Parenthood spokeswoman..org looking for a temp office  Devil's hate fire  @AP",fire may keep clinic close month planned parenthood spokeswoman .. org look temp office devil 's hate fire,negative,0
"As you may have guessed, I still can't get over Fairhead being head of BBC.   Shows utter contempt for law &amp; British people. #hsbcfraud",may guess still get fairhead head bbc show utter contempt law british people hsbcfraud,negative,0
"Defund PP!   Says Bobby Jindal, governor of the State with the 5th highest teen pregnancy rate in the nation...  Maybe no, Bobby.",defund pp say bobby jindal governor state 5th high teen pregnancy rate nation ... maybe bobby,negative,0
"@GudBadAnFozzy @davidsmith42000 @LBC You said he was the 2nd worst, he isn't &amp; UKIP don't vote on non-UK issues",say 2nd bad ukip vote uk issue,negative,0
Acta gets the ax. Wrote about him and other managers on the hot seat on Tuesday http://t.co/wXmASsbT,acta get ax write manager hot seat tuesday,negative,0
Its not about the money and player. Its about Moral &amp; club. We fucked up Real Madrid &amp; that's enough. De Gea can join tomorrow. Don't care.,money player moral club fuck real madrid enough gea join tomorrow,negative,0
"@AIR_artists @an_artnews sadly this is affecting us too.Relief turned down,rateable value up..awaiting response about 2nd appeal from LCC",sadly affect too.relief turn rateable value .. await response 2nd appeal lcc,negative,0
"Not cool having Miesha Tate, the former bantam weight champ on the under card. C'mon #Strikeforce treat her better. #RouseyKaufman",cool miesha tate former bantam weight champ card c'mon strikeforce treat good rouseykaufman,negative,0
Thom Yorke: Tony Blair advisers tried to force me to meet the PM https://t.co/TSinnQkM95 | The Guardian,thom yorke tony blair adviser try force meet pm guardian,negative,0
"@realDonaldTrump We need to terminate this horrible deal with Iran on the very 1st day in office, but JEB BUSH REFUSES! End of discussion ..",need terminate horrible deal iran 1st day office jeb bush refuse discussion ..,negative,0
This guy that just sat behind me smells like body odor and curry... So i didn't have to turn around to see who it was. Obviously Joseph Kony,guy behind smell like body odor curry ... turn around see obviously joseph kony,negative,0
"@alexander01399 Ok, you may have to create an email that is shorter. The PS4 cannot handle that many characters for some reason. ^SO",ok may create email short ps4 handle many character reason,negative,0
"Friday demonstrations: several Palestinians injured by IOF fire: On Christmas Day, protests against the Israel... https://t.co/e4xBC2BsR0",friday demonstration several palestinian injure iof fire christmas day protest israel ...,negative,0
Im on that zan with that lean and nun but Irene today at band camp jus to laugh at these poo ass freshman snare drummers,zan lean irene today band camp jus laugh poo ass freshman snare drummer,negative,0
Sharknado 3 may have overdone it just a little bit. And that's saying something for a Sharknado movie.,sharknado 3 may overdo little bit say something sharknado movie,negative,0
"Lightweight angry I didn't get a Hot Dog for National Hot Dog Day, will have to make up for it tomorrow lol",lightweight angry get hot national hot day make tomorrow lol,negative,0
Chris brown is going to be in atx on Wednesday &amp; I'm so so sad I can't see my baby :/,chris brown go atx wednesday sad see baby :/,negative,0
This game is slipping away from the Red Sox.(And it's only the second inning)  NYY 6  BOS 1  Top of the 2nd,game slip away red sox second inning nyy 6 bos 1 top 2nd,negative,0
The pacing for the 4th Harry Potter movie was so ridiculously off and it ruined the entire movie.,pacing 4th harry potter movie ridiculously ruin entire movie,negative,0
Few people understand names - google+ may have failed because of it.  http://t.co/dkKtuvaQiU @adamshostack http://t.co/Z65Gp2paAI,people understand name google may fail,negative,0
@hatinggreenday I don't understand what the fuck's wrong with you! You may hate Green Day but don't bother the Green Day Family with that!,understand fuck wrong may hate green day bother green day family,negative,0
We need to let go of Frank Ocean. He died on the 31st of July. He's gone,need let go frank ocean 31st july go,negative,0
BEWARE - if you do not have to upgrade to Windows 10 you may want to think twice before you do. We would warn you... http://t.co/B1iSmtLihL,beware upgrade window 10 may think twice would warn ...,negative,0
Congress lashes out at BJP over coal block issue: Lashing out at the Bharatiya Janata Party on Wednesday for its... http://t.co/6gOkjIt6,congress lash bjp coal block issue lash bharatiya janata party wednesday ...,negative,0
"Kendrick Lamar - alright doesn't even compete with future - March madness , so let's not even go there",kendrick lamar alright even compete future march madness let even go,negative,0
Sam Smith concert tomorrow got rescheduled and it's not til September 30th I'm hecka sad:(,sam smith concert tomorrow get reschedule september 30th hecka sad :(,negative,0
I'm going to be so sad if I get to go to niall's hotel again on Saturday and he leaves like twenty minutes after I do again,go sad get go niall 's hotel saturday leave like twenty minute,negative,0
"How is sarah Palin still in politics. She was and still is the embarrassment of the Gop, but she may be out done by some douche &amp; his toupee",sarah palin still politic still embarrassment gop may douche toupee,negative,0
The new Bruno Mars song is wicked. It sounds like a cross between the Police and Michael Jackson. I may or may not play it 14 times/day..!,new bruno mars song wicked sound like cross police michael jackson may may play 14 time day ..,negative,0
Tomorrow they will discuss #YakubHanged after their Friday prayer. Bad part is 100s of youth will get inspired to be the next Yakub.,tomorrow discuss yakubhang friday prayer bad part 100s youth get inspire next yakub,negative,0
Dustin Johnson dealt with another major disappointment after shooting +3 &amp; going from leading after 2 at -10 to being tied for 22nd &amp; at -7,dustin johnson deal another major disappointment shoot 3 go lead 2 10 tie 22nd 7,negative,0
@OANN 1/2  I can't believe I'm defending Jeb Bush but here goes... 1st: No official language here in the United States of America.,1/2 believe defend jeb bush go ... 1st official language united state america,negative,0
never in my life will I root for Conor McGregor. one day ... (and that day may never come) .. someone will demolish him. #oneDay #UFC189,never life root conor mcgregor one day ... day may never .. someone demolish oneday ufc189,negative,0
I feel do bad.. My boo Asia bday event maybe cancelled for this Sunday!... I was soooo looking forward to it,feel bad .. boo asia bday event maybe cancel sunday ... sooo look forward,negative,0
I'm all for exploring but this look like the island from Jurassic park lll I may have to skip  https://t.co/ZpQUAcvTKd,explore look like island jurassic park lll may skip,negative,0
@mvttyyp Ya never would have thought you'd lose 2 games when kershaw had leads going into the 7th,never would think would lose 2 game kershaw lead go 7th,negative,0
"@KelBel_x0 1st and 10, ball on the WSH 34-yd line. Griffin back to pass, looks, moves around-HERE COMES JUSTIN TUCK and DOWN GOES RG3 :/",1st 10 ball wsh 34 yd line griffin back pass look move around justin tuck go rg3 :/,negative,0
@EE  claims they can't do anything but upgrade at my own cost. 1st month with them - should have stayed with T-Mobile contract. #AvoidEE,claim anything upgrade cost 1st month stay mobile contract avoidee,negative,0
"Persons who are favoring Yakub Menen, may be HAPPY on Gurdaspur Attack. Those persons should also be hanged till death along with Yakub.",person favor yakub menen may happy gurdaspur attack person hang death along yakub,negative,0
"Quoting Tony Blair ""All the hallmarks of Al Qaeda."" What, u know this within 2 hrs or less than 1st attack? Wtf?... https://t.co/0xDt2A9gCm",quote tony blair hallmark qaeda know within 2 hr less 1st attack wtf ...,negative,0
December is almost here with us. Still no Frank Ocean album. But Boys Don't Cry. They don't give a fuck.,december almost still frank ocean album boy cry give fuck,negative,0
"@gorgeouspete this is like the 10th time they've posted this.  Why not put better artists on there, Kendrick Lamar  https://t.co/tcAvpqVw4x",like 10th time post put good artist kendrick lamar,negative,0
"What's are the odds Timmonsville's town council has a meeting today? Haven't met since Tuesday, so they are overdue. #tville",odd timmonsville 's town council meeting today meet since tuesday overdue tville,negative,0
"@_mariaaaaaaah That's what I figured. We suspect you may be experiencing some issues related to the storm, Maria. We're working on it! ^DGM",figure suspect may experience issue relate storm maria work dgm,negative,0
Step 1: Put media-loving Petraeus in a job where he can't talk (much). Step 2: Absolutely crush him in 1st available controversy. Slick.,step 1 put media love petraeus job talk much step 2 absolutely crush 1st available controversy slick,negative,0
@usopen What's with all the day matches tomorrow on Ashe?? No Murray or Halep? Can I change my tix? #usopen,day match tomorrow ashe murray halep change tix usopen,negative,0
it's supposed to snow from midnight tonight until 6pm tomorrow? oh well that's friggin awesome #sarcasm,suppose snow midnight tonight 6 p.m. tomorrow oh well friggin awesome sarcasm,negative,0
Zayn left the band on Wednesday The last Canadian show is on a wednesday My first day of school is wednesday   I OFFICIALLY HATE WEDNESDAYS,zayn leave band wednesday last canadian show wednesday first day school wednesday officially hate wednesday,negative,0
